Gene1,Gene2,Score
AT4G21870,AT3G22060,0.025983104
AT5G10450,AT2G17740,0.02592511
AT1G05300,AT2G44370,0.02590379
AT2G37710,AT1G64170,0.025874432000000003
AT3G45060,AT2G25470,0.025786842999999997
AT3G19010,AT2G19190,0.025743943
AT1G12940,AT2G42360,0.025713151
AT1G51620,AT2G25000,0.02564744
AT1G02450,AT4G21870,0.025613176
AT4G08850,AT5G07440,0.025544642000000003
AT1G64280,AT2G44490,0.025428172000000002
AT2G02220,AT4G23210,0.025403988
AT4G08850,AT5G39580,0.025384068
AT4G28140,AT5G10450,0.025366507000000003
AT3G29034,AT2G42360,0.025314
AT5G37600,AT2G41220,0.025307662999999998
AT4G20000,AT4G21410,0.025296291000000002
AT4G20860,AT2G39200,0.02527345
AT1G19380,AT4G20860,0.025256021
AT3G21080,AT1G51620,0.025217744
AT3G52450,AT5G39580,0.025183627000000004
AT1G51680,AT1G02450,0.025033193
AT2G42360,AT2G39530,0.024983227
AT2G36690,AT1G77380,0.024874558999999997
AT2G36690,AT2G25000,0.024801504
AT2G44370,AT1G51890,0.02473981
AT1G65690,AT2G39530,0.024738992
AT2G44380,AT5G44585,0.024547127999999998
AT2G37040,AT2G25470,0.024545386000000002
AT1G12940,AT5G67450,0.024534893999999998
AT4G23210,AT2G30490,0.024467915
AT5G53460,AT1G51620,0.024458759
AT5G10450,AT4G38560,0.024338102
AT3G19930,AT2G15620,0.024333874
AT1G64280,AT5G46330,0.024217212999999998
AT1G65490,AT2G15620,0.024166637999999997
AT2G19190,AT3G19450,0.02415291
AT5G59080,AT4G39400,0.024120722
AT1G51620,AT3G46280,0.024104046
AT1G51890,AT1G52200,0.02395794
AT2G44370,AT1G61360,0.023928377999999997
AT5G53110,AT1G21670,0.02389375
AT4G31550,AT4G21870,0.023861753
AT5G20250,AT5G40780,0.023855152999999997
AT2G37710,AT5G55050,0.023798162
AT3G59880,AT1G52200,0.023794847999999997
AT5G46330,AT3G29034,0.023680253
AT3G49780,AT4G20860,0.023679309
AT3G19450,AT3G52450,0.023561506
AT2G01950,AT3G22060,0.023518048
AT5G55050,AT4G31800,0.023448754
AT2G19190,AT4G31800,0.023377335
AT1G77380,AT5G46330,0.023280244
AT4G01250,AT1G05300,0.023174992000000002
AT1G21670,AT5G07440,0.023161136000000002
AT4G08850,AT5G53110,0.023141036
AT3G48650,AT5G37600,0.023127363999999997
AT3G48650,AT2G44490,0.023010017
AT2G37710,AT4G20860,0.022993106
AT4G38560,AT3G19450,0.02298711
AT1G30720,AT5G54160,0.022868974
AT5G50200,AT5G59080,0.022759188
AT3G46280,AT5G44585,0.022745684
AT1G12940,AT5G13930,0.022730397000000003
AT2G44380,AT2G31400,0.022726737
AT1G61380,AT1G05300,0.022723686
AT3G26210,AT1G65690,0.022699197999999997
AT5G59080,AT2G31400,0.022579632999999998
AT1G77380,AT1G14780,0.022567122999999998
AT2G25470,AT2G44490,0.022526605
AT3G29034,AT2G30490,0.022460692999999997
AT3G19450,AT5G50200,0.022398922999999998
AT1G15950,AT2G31400,0.022305511
AT1G70530,AT2G31400,0.022219466
AT1G51800,AT5G59080,0.021989633999999997
AT5G13930,AT4G20000,0.021986997
AT5G53110,AT3G46280,0.021942941
AT3G22060,AT5G46330,0.021904217
AT1G30730,AT1G49000,0.021875294
AT3G46280,AT4G20860,0.021849382999999997
AT3G48650,AT4G31800,0.021843756000000002
AT3G19930,AT2G41220,0.021791672
AT2G44370,AT3G50480,0.021748474
AT3G19010,AT1G35160,0.021688757000000003
AT4G24160,AT1G12940,0.021668145
AT2G25000,AT1G72300,0.021593986000000003
AT1G12940,AT4G24160,0.02158323
AT1G51620,AT3G50480,0.021555453999999998
AT1G77380,AT1G05300,0.021454107000000004
AT1G08090,AT4G31800,0.02136052
AT1G12940,AT4G31800,0.02128036
AT4G33430,AT4G23210,0.021247198999999998
AT5G37600,AT5G54160,0.021080006000000002
AT2G42360,AT5G59080,0.021030238
AT4G39400,AT4G20000,0.020953655
AT4G20860,AT2G25000,0.020912524
AT1G64170,AT4G20000,0.020853102
AT2G17740,AT2G41220,0.020827403
AT3G50480,AT2G39200,0.020706258999999998
AT5G48430,AT5G10450,0.020690395
AT3G19010,AT5G67450,0.02055132
AT5G44585,AT2G37040,0.020526586
AT2G39530,AT2G42360,0.02047228
AT4G30190,AT5G04140,0.020403900000000003
AT5G50200,AT5G46330,0.020402214
AT4G31800,AT2G17740,0.02038499
AT4G20860,AT4G31800,0.020314183
AT5G10450,AT5G06950,0.020271723999999998
AT2G39530,AT2G37040,0.020252628
AT2G15620,AT5G20250,0.020199116
AT2G44380,AT1G14780,0.020180928
AT1G12940,AT5G07440,0.020125613
AT1G19380,AT4G01250,0.020113256
AT5G54160,AT2G37710,0.020074839
AT3G46280,AT5G40780,0.020001085
AT4G01700,AT2G44490,0.019938935
AT4G21410,AT1G05300,0.019932063
AT4G21410,AT4G39400,0.019902358000000002
AT2G42360,AT4G23210,0.019840231
AT1G30730,AT5G20250,0.01983222
AT2G22122,AT2G01950,0.01980877
AT1G64170,AT1G77380,0.01979219
AT4G21410,AT1G51800,0.019760443
AT1G21670,AT5G06950,0.019620532
AT2G38900,AT4G33430,0.01960741
AT1G51620,AT5G13930,0.01958133
AT1G51800,AT2G30490,0.019555073
AT1G02450,AT4G20000,0.019530151000000003
AT2G44380,AT2G22122,0.019522604
AT4G21410,AT1G51680,0.019481849
AT4G38560,AT2G17740,0.019478802
AT1G51800,AT4G21870,0.019466758
AT3G29034,AT1G21670,0.019449512
AT1G35160,AT5G54160,0.019447334
AT1G37130,AT2G39530,0.019434426
AT1G49000,AT2G19190,0.019421266
AT4G01700,AT5G46330,0.019361725
AT4G23210,AT4G39400,0.01934638
AT3G49780,AT4G39400,0.01931307
AT5G20250,AT2G02220,0.019289702
AT1G65490,AT2G44490,0.019258317
AT5G53110,AT1G08090,0.019238004
AT2G37710,AT3G50480,0.019233306999999998
AT2G39200,AT2G25000,0.019188352
AT1G51620,AT2G44370,0.018929312
AT2G22122,AT1G05300,0.018928846000000003
AT3G26210,AT1G51890,0.018899135
AT3G19450,AT1G08090,0.018869735
AT2G37040,AT3G29034,0.018855335
AT4G08850,AT4G31800,0.01880477
AT1G35160,AT3G19930,0.01878332
AT4G08850,AT2G44490,0.018722752
AT5G50200,AT5G04140,0.01870822
AT5G54160,AT5G13930,0.018619303
AT4G28140,AT1G65690,0.018541355
AT5G01540,AT5G07440,0.018518107
AT2G31400,AT2G37710,0.018507268
AT2G01950,AT2G25000,0.018460952
AT3G19450,AT1G70530,0.018409424
AT2G19190,AT2G30490,0.018307498000000002
AT3G26210,AT1G52200,0.018298153
AT5G20250,AT1G35160,0.018274974
AT1G30720,AT4G27730,0.01819075
AT1G77380,AT3G26210,0.018186195
AT2G37040,AT4G27730,0.018165192
AT5G54160,AT3G29034,0.018149229
AT3G52450,AT4G21870,0.018106593
AT5G67450,AT2G17740,0.018102366
AT5G55050,AT5G06950,0.018083958
AT2G42360,AT3G29034,0.018080845
AT2G39200,AT1G52200,0.018027395
AT1G51680,AT4G38560,0.017995292
AT3G45060,AT5G04140,0.017987398
AT1G02450,AT3G26210,0.017913101
AT2G25470,AT1G61360,0.01778943
AT1G21670,AT2G17740,0.017777845
AT4G08850,AT1G12940,0.017772317
AT5G20480,AT2G19190,0.017746352
AT2G39200,AT3G45060,0.017742408
AT2G02220,AT3G48650,0.017701734
AT3G59880,AT4G21870,0.017686298
AT4G28140,AT1G30720,0.017665505
AT2G02220,AT2G44370,0.01764709
AT5G20250,AT3G25882,0.017642364
AT3G19010,AT2G38900,0.017610565
AT5G54160,AT2G25470,0.017585138
AT2G25000,AT2G25470,0.017537605
AT3G49780,AT1G12940,0.01753412
AT3G50470,AT1G15950,0.017308518000000002
AT1G65690,AT5G37600,0.017197376
AT1G64280,AT2G25470,0.017177207
AT1G61360,AT4G23210,0.017152078
AT2G42360,AT2G22122,0.017059026
AT5G06950,AT2G37040,0.017012753999999998
AT4G21410,AT1G12940,0.016946311999999998
AT2G31400,AT2G22122,0.016892212
AT1G52200,AT2G39530,0.016859425
AT1G52200,AT5G50200,0.016848113
AT2G19190,AT5G55050,0.016828142
AT2G30490,AT3G25882,0.01680624
AT1G51890,AT3G50470,0.01679591
AT5G10450,AT4G31550,0.01678364
AT1G70530,AT3G26210,0.016771441
AT3G49780,AT2G44380,0.016703406
AT4G31800,AT3G49780,0.016674981999999998
AT2G39530,AT5G20480,0.016620915
AT1G30730,AT5G50200,0.016567811
AT4G27730,AT1G61360,0.016434573
AT5G54160,AT3G19450,0.016380413
AT5G67450,AT5G07440,0.016377227
AT2G19190,AT4G21410,0.016337715
AT4G08850,AT5G40780,0.016335765
AT5G20250,AT1G30730,0.016325168
AT3G22060,AT5G01540,0.01627711
AT1G05300,AT2G44490,0.016176943
AT5G55050,AT5G04140,0.016139247
AT2G37710,AT2G44490,0.016077776999999998
AT3G46280,AT4G21410,0.01606753
AT2G30360,AT1G14780,0.016042855
AT5G06950,AT1G61380,0.015971644
AT1G12940,AT1G64170,0.015951006
AT4G20000,AT2G37710,0.015878497
AT2G38900,AT1G12940,0.015873067
AT1G51680,AT4G31800,0.015826156
AT2G30490,AT5G06950,0.015793057
AT1G51680,AT1G70530,0.015779287
AT1G37130,AT1G51680,0.01573338
AT4G39400,AT5G53110,0.015720984
AT5G07440,AT2G38900,0.015703656
AT3G45060,AT5G20250,0.015701817
AT1G30730,AT2G17740,0.015685102
AT3G48650,AT4G30190,0.015681915
AT2G44370,AT4G23210,0.01564494
AT3G59880,AT4G39400,0.015615778
AT1G30730,AT2G44370,0.015605691000000001
AT5G59080,AT3G26210,0.015603754
AT2G36690,AT4G31550,0.015580498
AT2G02220,AT3G50470,0.015534398999999999
AT4G30190,AT4G01250,0.015468983
AT4G23210,AT2G25000,0.015413458
AT1G51800,AT1G65690,0.015339941000000001
AT1G21670,AT3G22060,0.015324026999999999
AT5G04140,AT5G06950,0.015300511999999999
AT3G19450,AT4G20860,0.015239575
AT2G39530,AT1G12940,0.015235755
AT1G14780,AT4G35180,0.015222545
AT4G27730,AT1G02450,0.0151915215
AT3G46280,AT5G20480,0.015189231000000001
AT2G36690,AT1G65490,0.015159728999999999
AT3G50480,AT5G40780,0.015137593999999999
AT1G51800,AT1G37130,0.015063807
AT1G51620,AT2G30490,0.015062278
AT3G22060,AT5G54160,0.0150307175
AT4G31800,AT3G22060,0.014816781999999999
AT2G37710,AT4G24160,0.014781341000000002
AT2G17740,AT3G50470,0.014774471499999999
AT1G52200,AT5G44585,0.014753603999999998
AT4G21410,AT3G45060,0.014724807
AT4G24160,AT5G07440,0.014692031999999999
AT5G46330,AT4G27730,0.014677943999999998
AT2G44490,AT5G20250,0.014666991
AT1G61380,AT2G22122,0.014653916000000001
AT3G19450,AT2G15620,0.014597615
AT1G72300,AT1G35160,0.01456886
AT4G31800,AT3G50480,0.014551035
AT1G15950,AT3G50470,0.014528981000000002
AT2G19190,AT2G17740,0.014461338
AT1G05300,AT4G20860,0.014437117
AT4G27730,AT5G46330,0.0143992845
AT1G35160,AT3G19450,0.01438604
AT4G20000,AT3G50480,0.014268953999999999
AT1G51620,AT3G52450,0.014213446000000001
AT2G19190,AT5G53460,0.014183873999999999
AT3G50470,AT5G53460,0.014074023
AT4G28140,AT5G37600,0.014057532
AT1G05300,AT4G31800,0.014032312
AT4G28140,AT3G19450,0.01397921
AT5G20250,AT1G72300,0.013957871
AT3G59880,AT3G21080,0.013948231
AT4G31550,AT1G21670,0.013935628
AT1G14780,AT3G22060,0.0139233405
AT2G15620,AT1G12940,0.01391717
AT1G65690,AT2G37040,0.013879846000000001
AT1G51620,AT3G21080,0.013809333
AT4G33430,AT2G37710,0.013807517
AT4G31550,AT1G52200,0.013807482
AT5G53110,AT3G26210,0.013784803
AT2G30360,AT5G53460,0.013769983999999999
AT5G46330,AT3G19930,0.013718746
AT5G20250,AT3G19450,0.013653713999999999
AT2G17740,AT3G21080,0.013613941999999999
AT4G01700,AT2G25470,0.013538183999999998
AT2G30490,AT1G64280,0.013525154
AT3G50470,AT4G20000,0.013488818999999999
AT1G51620,AT4G31800,0.013357893000000001
AT4G23210,AT5G50200,0.013335082
AT4G35180,AT2G19190,0.013328116999999999
AT5G50200,AT1G51890,0.013327378999999999
AT4G30190,AT5G07440,0.013292844
AT4G30190,AT5G06950,0.013258581
AT5G10450,AT1G52200,0.013154206000000002
AT5G53460,AT1G77380,0.013143727
AT2G19190,AT5G37600,0.0131133385
AT2G25470,AT4G21870,0.013062173500000001
AT5G53460,AT2G39530,0.012987853999999998
AT3G22060,AT1G65690,0.012980796999999999
AT1G14780,AT5G10450,0.01295857
AT1G15950,AT4G01700,0.012866513000000001
AT4G20000,AT2G22122,0.012863461999999999
AT2G38900,AT1G51680,0.012845275
AT4G24160,AT3G50480,0.012828704
AT3G19930,AT5G46330,0.012759231999999999
AT4G24160,AT1G51890,0.012702052
AT3G19010,AT4G38560,0.012697107
AT3G50480,AT4G31550,0.012677686
AT1G08090,AT5G59080,0.012670813000000001
AT3G45060,AT1G19380,0.012666506000000001
AT5G07440,AT4G20860,0.012660713999999998
AT4G20860,AT2G19190,0.01261379
AT3G19450,AT4G21410,0.012588103
AT5G01540,AT2G02220,0.01257077
AT4G38560,AT1G64170,0.012533728000000001
AT4G21410,AT1G52200,0.012498676
AT2G15620,AT3G59880,0.012490457
AT3G21080,AT5G13930,0.012414741000000002
AT5G54160,AT1G72300,0.012274209
AT1G05300,AT2G17740,0.012253719
AT2G30490,AT5G44585,0.012222461
AT4G38560,AT5G50200,0.012151740500000001
AT1G64170,AT5G53110,0.012105421000000002
AT1G65490,AT1G19380,0.0120951375
AT4G38560,AT2G44490,0.012074646000000001
AT3G59880,AT2G44370,0.012049595
AT4G01700,AT5G01540,0.0119931735
AT1G61360,AT1G52200,0.011992288
AT1G51800,AT5G66420,0.0119708255
AT3G19930,AT3G50470,0.011945176000000002
AT1G70530,AT1G12940,0.011902968
AT2G44490,AT1G21670,0.011872143
AT5G46330,AT1G51800,0.011853724
AT5G66420,AT5G10450,0.011836023999999999
AT2G37710,AT2G44380,0.011754872
AT5G13930,AT4G27730,0.011704606999999999
AT5G06950,AT1G72300,0.011573637
AT4G01700,AT2G38900,0.011508645500000001
AT5G13930,AT2G30490,0.011425012
AT1G51680,AT4G20000,0.011393641999999999
AT2G41220,AT4G35180,0.011353054
AT1G64170,AT1G14780,0.011239916
AT3G22060,AT2G25000,0.011183988999999998
AT1G51620,AT2G37710,0.011114311000000002
AT3G25882,AT5G40780,0.011087283
AT5G50200,AT2G17740,0.011071606000000001
AT5G53110,AT1G51890,0.011051723000000001
AT3G59880,AT4G23210,0.0110227065
AT1G70530,AT4G27730,0.010986771999999999
AT4G24160,AT4G01250,0.010967128999999999
AT4G20860,AT4G23210,0.010920397
AT2G39200,AT3G46280,0.010916934
AT4G33430,AT1G51680,0.010864011000000002
AT5G53110,AT1G52200,0.010808571000000001
AT5G53110,AT3G29034,0.010780963999999999
AT1G51800,AT3G50480,0.010739661999999999
AT1G64280,AT3G50480,0.010725916
AT5G20480,AT1G77380,0.010711749
AT4G21410,AT3G52450,0.010706206999999999
AT5G13930,AT5G40780,0.010681846000000002
AT1G49000,AT2G39530,0.010680991
AT4G24160,AT5G01540,0.010652913
AT3G49780,AT1G70530,0.010645297
AT1G21670,AT2G19190,0.010609473999999999
AT1G51620,AT1G64280,0.010566853999999999
AT2G30360,AT1G12940,0.010539561999999999
AT3G48650,AT4G27730,0.010533238
AT3G22060,AT1G19380,0.010532443999999998
AT5G01540,AT1G14780,0.010511897
AT2G19190,AT3G59880,0.010492969
AT2G15620,AT3G19930,0.010397527
AT4G27730,AT4G23210,0.010350339
AT5G66420,AT2G42360,0.010341636
AT2G19190,AT1G65690,0.010280651
AT2G19190,AT1G61380,0.010196766
AT3G50470,AT3G21080,0.0101446295
AT2G30490,AT2G39200,0.010124155
AT2G25470,AT1G72300,0.010114275
AT5G39580,AT2G42360,0.010100523
AT5G37600,AT4G20000,0.010067583
AT2G44370,AT2G30490,0.010056865
AT5G40780,AT4G30190,0.010024353
AT2G25000,AT5G37600,0.010006299
AT4G21870,AT1G08090,0.010001662
AT2G30360,AT2G22122,0.009979706
AT3G22060,AT1G65490,0.009977175
AT1G65490,AT5G20480,0.009966639000000001
AT1G64280,AT1G70530,0.009920639
AT2G37710,AT1G64280,0.009913607
AT2G42360,AT2G44490,0.009893602
AT1G12940,AT2G44490,0.009876985
AT1G37130,AT1G30730,0.009868233
AT2G39530,AT5G07440,0.0098648
AT5G54160,AT1G65690,0.00983612
AT1G77380,AT2G30360,0.009809680999999999
AT4G33430,AT1G51800,0.009807944
AT1G70530,AT3G50470,0.0097983815
AT5G53110,AT2G25470,0.009719847
AT1G65490,AT3G49780,0.009674185
AT2G37040,AT2G38900,0.009649393000000001
AT5G50200,AT4G35180,0.009609874000000001
AT2G39530,AT1G65690,0.009480327
AT1G61380,AT1G61360,0.009469360999999999
AT3G50470,AT2G22122,0.00939218
AT1G52200,AT2G01950,0.00938468
AT5G37600,AT1G51890,0.009312276
AT3G50480,AT2G41220,0.0093112225
AT1G51680,AT4G31550,0.009310389
AT1G19380,AT5G01540,0.009286818
AT4G01250,AT1G70530,0.009279748
AT2G22122,AT5G37600,0.009241697
AT3G52450,AT2G44370,0.009227167
AT4G38560,AT1G35160,0.009225376
AT4G23210,AT2G37040,0.009184859
AT3G49780,AT1G52200,0.009169047
AT2G22122,AT2G44380,0.009141017
AT5G67450,AT2G44370,0.009121086
AT1G51890,AT4G01250,0.009086526999999999
AT2G44380,AT4G31800,0.0090858955
AT1G02450,AT1G64170,0.009084364000000001
AT3G50470,AT1G02450,0.009038933
AT2G44380,AT5G48430,0.009029233000000001
AT1G65690,AT5G06950,0.009022430500000001
AT5G66420,AT1G72300,0.00901538
AT5G66420,AT1G51620,0.008966878000000001
AT5G44585,AT2G36690,0.008966728
AT4G38560,AT1G51800,0.008937513000000001
AT5G66420,AT5G20480,0.008930351999999999
AT5G53460,AT1G51680,0.00889397
AT4G20000,AT1G35160,0.008882178000000001
AT3G19930,AT4G01700,0.008879202
AT5G07440,AT5G40780,0.008853744
AT2G30490,AT4G23210,0.008836377
AT4G23210,AT5G66420,0.008819825
AT1G08090,AT5G66420,0.008810513
AT4G31800,AT5G37600,0.00880581
AT1G12940,AT2G02220,0.008730871999999999
AT4G31550,AT4G28140,0.008700877
AT1G51680,AT5G07440,0.008683603
AT4G01250,AT5G07440,0.008667108
AT1G51890,AT5G01540,0.008609803000000001
AT1G52200,AT2G42360,0.008598959
AT3G52450,AT1G30730,0.008562522
AT1G30730,AT2G19190,0.008532663000000001
AT3G45060,AT5G01540,0.008518594
AT2G02220,AT1G14780,0.008500147
AT1G51800,AT2G25000,0.008485178000000001
AT2G42360,AT5G46330,0.00847104
AT5G20480,AT2G44380,0.0084196525
AT2G41220,AT4G31550,0.00840925
AT1G05300,AT5G07440,0.008392508
AT2G37040,AT4G31550,0.008376945
AT2G39200,AT4G39400,0.008371945
AT1G51890,AT5G37600,0.00835792
AT5G54160,AT2G31400,0.00832117
AT2G30360,AT2G37040,0.008295971999999999
AT1G64280,AT2G22122,0.008294424
AT3G21080,AT3G19450,0.008257658000000001
AT3G48650,AT5G59080,0.008189726
AT5G46330,AT3G19010,0.008186423
AT4G27730,AT2G44490,0.008175199999999999
AT1G70530,AT2G25000,0.008150548
AT1G02450,AT2G44380,0.008143246
AT1G21670,AT1G15950,0.008104848000000001
AT3G46280,AT5G20250,0.008097901
AT3G19010,AT5G50200,0.00808847
AT4G33430,AT1G51620,0.007958285
AT2G39530,AT2G30490,0.007956246
AT4G21410,AT3G26210,0.007922397
AT3G52450,AT1G19380,0.007913762
AT2G25470,AT5G67450,0.007898283
AT3G49780,AT4G31550,0.007855289
AT2G31400,AT4G31550,0.0078539
AT4G31800,AT1G64170,0.0077485414
AT2G44490,AT2G36690,0.007740543000000001
AT2G25470,AT5G39580,0.007736954
AT5G04140,AT2G37040,0.0077335974
AT4G31800,AT1G05300,0.007700079
AT2G25000,AT1G51890,0.0076569672999999994
AT3G45060,AT2G39200,0.007652811
AT5G39580,AT5G54160,0.007644413
AT2G42360,AT1G61380,0.0076008644
AT1G37130,AT4G27730,0.0075863169999999995
AT4G33430,AT3G21080,0.00755857
AT4G38560,AT2G22122,0.007540048000000001
AT1G61360,AT1G14780,0.0075267605
AT5G44585,AT1G21670,0.0075017978
AT4G38560,AT2G19190,0.0074746385
AT1G52200,AT3G26210,0.007432876
AT4G30190,AT2G19190,0.0074322503
AT4G35180,AT5G37600,0.0074018566
AT1G51680,AT1G52200,0.007383708
AT1G30720,AT4G08850,0.007354326
AT1G61380,AT2G17740,0.0073496187
AT5G66420,AT4G20860,0.007346615
AT3G21080,AT5G07440,0.007343805
AT2G31400,AT3G59880,0.007304215
AT4G01700,AT2G30490,0.007292992
AT1G05300,AT1G12940,0.0072844466
AT4G20000,AT2G02220,0.0072746538
AT1G70530,AT1G65690,0.007211950999999999
AT5G37600,AT1G51620,0.0072076269999999994
AT1G19380,AT3G50470,0.007163007
AT1G61360,AT2G19190,0.007141325600000001
AT4G21870,AT5G13930,0.0071351673
AT4G21870,AT5G59080,0.0071181515
AT1G14780,AT5G53460,0.007054821
AT5G53460,AT5G46330,0.007048311999999999
AT3G19010,AT1G52200,0.006998423
AT4G35180,AT4G20860,0.006976859
AT1G49000,AT2G25470,0.0069697625
AT2G39200,AT3G29034,0.006964077700000001
AT1G15950,AT5G66420,0.006962286
AT2G30360,AT3G59880,0.0069553507
AT5G01540,AT1G61360,0.006940676999999999
AT4G24160,AT1G05300,0.0069283396
AT5G55050,AT2G44380,0.0069246637
AT4G38560,AT5G07440,0.0069232727
AT5G67450,AT4G21870,0.006906764
AT5G55050,AT2G22122,0.006898097
AT3G45060,AT4G08850,0.0068681346999999995
AT5G48430,AT4G08850,0.0068637594
AT4G31550,AT1G51890,0.006811293299999999
AT5G48430,AT4G27730,0.0068063876
AT5G55050,AT5G13930,0.0067979866
AT2G02220,AT2G44380,0.006796889499999999
AT4G01250,AT2G25000,0.0067813955000000006
AT2G39530,AT3G21080,0.006780616999999999
AT5G37600,AT4G01250,0.006778607
AT2G41220,AT1G52200,0.0067737047
AT4G39400,AT2G25470,0.006714818000000001
AT1G61360,AT2G25000,0.006656818
AT4G31550,AT5G48430,0.0066406117
AT3G19010,AT1G65690,0.0065826243
AT3G46280,AT3G25882,0.0065777525
AT3G46280,AT4G21870,0.0065701003
AT1G30720,AT1G15950,0.006567941
AT5G59080,AT1G35160,0.0065662690000000004
AT4G20860,AT2G25470,0.0065473015
AT2G38900,AT2G44370,0.0065359166
AT1G64280,AT4G20860,0.006498048
AT5G50200,AT2G44490,0.006487276
AT1G30730,AT3G52450,0.006481811999999999
AT4G31550,AT2G02220,0.006480265
AT2G19190,AT1G35160,0.006467403
AT5G07440,AT1G12940,0.0064585055
AT5G40780,AT3G50480,0.0064446090000000004
AT1G51620,AT1G65690,0.006435995999999999
AT2G25000,AT5G01540,0.006357078
AT1G08090,AT2G25470,0.006334426999999999
AT3G19010,AT2G01950,0.0063287796999999995
AT5G07440,AT1G51800,0.006309477
AT1G70530,AT2G25470,0.0063059484
AT2G25470,AT5G66420,0.006301659
AT5G37600,AT5G59080,0.006272366
AT3G49780,AT1G15950,0.0062302486
AT1G65490,AT4G23210,0.00619987
AT1G05300,AT1G61380,0.006194089
AT1G51890,AT2G19190,0.006188210600000001
AT3G46280,AT5G07440,0.0061428966
AT3G50480,AT3G26210,0.006123025
AT5G54160,AT5G20250,0.006072343000000001
AT4G01250,AT3G46280,0.006048876999999999
AT1G15950,AT5G07440,0.006042754
AT5G40780,AT1G30730,0.006041824
AT1G61360,AT1G77380,0.005953386999999999
AT5G53110,AT4G30190,0.005951368
AT2G44370,AT2G25470,0.0059453985
AT2G22122,AT2G30490,0.0059436755
AT1G61380,AT4G27730,0.005942923
AT1G19380,AT1G05300,0.0059426240000000005
AT1G77380,AT2G25000,0.005940483000000001
AT4G23210,AT1G70530,0.005936553000000001
AT1G21670,AT4G31800,0.005917386
AT4G31550,AT2G19190,0.0058936747
AT3G21080,AT1G21670,0.005887228
AT4G21410,AT1G51620,0.005861956999999999
AT3G22060,AT4G31800,0.0058326919999999996
AT2G19190,AT4G21870,0.0058288625
AT2G44490,AT5G54160,0.0057799719999999995
AT1G08090,AT2G39530,0.005779906
AT1G14780,AT5G13930,0.005754731
AT2G36690,AT5G53110,0.005754667
AT1G51800,AT1G12940,0.005716041
AT5G06950,AT5G07440,0.0057143914
AT1G51620,AT2G42360,0.0057048174
AT2G02220,AT2G37710,0.005667829
AT4G21870,AT4G27730,0.005653814399999999
AT5G06950,AT2G39530,0.0056162286
AT1G14780,AT1G02450,0.005613707
AT2G39200,AT4G24160,0.005590728499999999
AT2G22122,AT1G51890,0.005590223
AT1G37130,AT2G31400,0.005580395500000001
AT1G61360,AT1G35160,0.005575968000000001
AT1G51620,AT1G61360,0.005566230500000001
AT1G19380,AT3G19010,0.005540709
AT5G67450,AT3G22060,0.0055085304
AT2G37710,AT1G19380,0.0054851844999999995
AT4G21870,AT3G59880,0.005483467
AT1G12940,AT1G65690,0.0054676546999999995
AT2G44490,AT1G77380,0.00546633
AT2G39530,AT2G44370,0.005456801999999999
AT2G44380,AT1G35160,0.0054529007
AT5G66420,AT1G61360,0.005413406999999999
AT2G25470,AT3G52450,0.005388379
AT4G28140,AT1G65490,0.0053790285999999994
AT2G39530,AT4G39400,0.0053349980000000005
AT5G39580,AT5G04140,0.0053300223999999995
AT5G53460,AT5G20480,0.0052872715
AT1G14780,AT3G52450,0.005284107
AT4G30190,AT5G67450,0.005258336999999999
AT3G45060,AT2G01950,0.005247145999999999
AT1G30720,AT1G51800,0.0052266903000000005
AT3G25882,AT1G51890,0.0052263103
AT1G77380,AT1G70530,0.00522284
AT2G25470,AT5G06950,0.005204243
AT5G07440,AT2G37040,0.005199202
AT5G44585,AT4G20000,0.0051890877
AT5G53460,AT4G31550,0.0051876167
AT3G26210,AT2G44490,0.0051766033
AT4G38560,AT3G59880,0.0051740524
AT1G49000,AT3G19010,0.0051620533
AT5G59080,AT3G49780,0.0051557085999999995
AT4G28140,AT5G54160,0.0051527363
AT1G51620,AT1G30720,0.0051293923
AT3G21080,AT1G12940,0.005076957
AT4G30190,AT3G25882,0.005076708
AT3G21080,AT2G36690,0.0050722454
AT1G64280,AT5G54160,0.005070107
AT5G01540,AT2G39200,0.0050471922999999995
AT1G65690,AT3G22060,0.005032857
AT4G24160,AT3G26210,0.004982183
AT3G50480,AT2G37710,0.004959929
AT1G15950,AT5G53110,0.0049442505
AT3G25882,AT3G49780,0.004940712
AT5G37600,AT1G65490,0.0049376604
AT5G10450,AT4G35180,0.00492842
AT5G66420,AT4G35180,0.0049116877
AT3G50470,AT1G19380,0.0049092765
AT4G21870,AT3G25882,0.004892201
AT1G51800,AT2G44490,0.004882234
AT1G51680,AT2G19190,0.0048732483
AT1G65490,AT5G59080,0.004860165
AT5G48430,AT2G39200,0.0048527215000000005
AT4G23210,AT2G44380,0.0048485096
AT2G44380,AT4G20000,0.004821257
AT2G42360,AT4G35180,0.004781464
AT5G20250,AT4G35180,0.0047519146000000005
AT5G01540,AT5G37600,0.004743134600000001
AT1G70530,AT3G59880,0.0047050323
AT1G65690,AT2G19190,0.0046860916
AT5G55050,AT3G50470,0.0046710745000000005
AT3G22060,AT1G05300,0.004660217
AT5G44585,AT3G52450,0.0046417364
AT4G31800,AT5G59080,0.0046271817
AT3G25882,AT4G23210,0.004620375
AT4G31550,AT2G25000,0.0046188687
AT1G21670,AT4G39400,0.004616892
AT5G48430,AT2G44370,0.0046168434999999996
