Gene1,Gene2,Score
AT5G37600,AT1G12940,0.33405578
AT3G50470,AT3G50480,0.3331533
AT3G26210,AT2G25000,0.33252209999999993
AT3G21080,AT3G25882,0.33084106
AT3G45060,AT2G22122,0.33072928
AT1G70530,AT4G20860,0.33000576
AT3G50480,AT3G25882,0.32959864
AT1G65690,AT2G42360,0.3268841
AT1G12940,AT5G53110,0.3267777
AT1G12940,AT2G25000,0.32603540000000003
AT1G51680,AT2G37040,0.325665
AT2G44370,AT5G01540,0.31979823
AT1G02450,AT2G37710,0.31902996
AT2G37040,AT1G65690,0.31828558
AT1G64170,AT1G12940,0.31671757
AT1G61360,AT4G21410,0.31530446
AT1G51890,AT1G61360,0.31518367
AT2G36690,AT2G17740,0.31380050000000004
AT4G01250,AT2G39200,0.31362945
AT2G38900,AT2G15620,0.31329632
AT4G35180,AT4G31800,0.31296343
AT1G61380,AT1G21670,0.31242126
AT2G25000,AT4G27730,0.31133249999999996
AT4G23210,AT1G64170,0.30978587
AT5G53110,AT1G49000,0.3073318
AT2G02220,AT1G51800,0.30707940000000006
AT1G19380,AT1G14780,0.3069608
AT1G51890,AT2G38900,0.30659574
AT4G35180,AT3G25882,0.30481243
AT4G38560,AT4G35180,0.30424458
AT2G17740,AT5G48430,0.30389115
AT4G23210,AT2G15620,0.30381566
AT3G19010,AT1G51800,0.30360678
AT2G25470,AT1G14780,0.30340370000000005
AT4G30190,AT5G53460,0.30076367
AT3G49780,AT2G30360,0.2999965
AT1G51620,AT2G44380,0.29993862
AT4G31800,AT4G28140,0.29966602
AT4G08850,AT4G31550,0.29918233
AT4G27730,AT1G64170,0.29861350000000003
AT1G70530,AT5G20480,0.29795170000000004
AT4G20860,AT4G24160,0.2959333
AT3G46280,AT1G52200,0.29557866
AT4G27730,AT2G41220,0.29501679999999997
AT4G30190,AT2G41220,0.29435238
AT4G01250,AT4G24160,0.29416034
AT3G26210,AT1G64170,0.29410666
AT5G55050,AT5G53460,0.29328302
AT4G20000,AT1G64170,0.2904802
AT3G26210,AT5G10450,0.29044077
AT2G15620,AT1G37130,0.29008764
AT2G36690,AT5G48430,0.28977683
AT5G01540,AT3G59880,0.28846383
AT3G26210,AT3G50470,0.28839323
AT3G59880,AT5G55050,0.2876506
AT4G24160,AT4G31800,0.28702849999999996
AT5G48430,AT1G51800,0.28596320000000003
AT1G61360,AT5G01540,0.2858564
AT5G53460,AT2G41220,0.28584397
AT1G65690,AT5G53110,0.2852998
AT4G38560,AT2G37710,0.28467974
AT5G44585,AT2G44380,0.28377240000000004
AT2G44370,AT1G21670,0.28354916
AT1G61360,AT4G35180,0.28344023
AT2G19190,AT5G04140,0.28310004
AT1G51620,AT1G61380,0.28287742
AT2G02220,AT5G53110,0.28258228
AT4G24160,AT3G48650,0.2814238
AT1G12940,AT4G30190,0.2760268
AT5G07440,AT5G06950,0.27575856
AT1G19380,AT1G51620,0.2753178
AT5G20250,AT5G07440,0.27377534
AT5G66420,AT3G46280,0.27349654
AT1G65690,AT1G77380,0.27279374
AT2G39200,AT1G61360,0.27260178
AT2G37040,AT5G54160,0.2724127
AT2G37040,AT2G19190,0.27215320000000004
AT1G61380,AT1G70530,0.27154163
AT4G23210,AT2G37710,0.27139595
AT2G44490,AT1G49000,0.27103773
AT5G53110,AT1G14780,0.27088246
AT4G01700,AT5G54160,0.26975366
AT1G15950,AT3G19930,0.26934037
AT5G39580,AT1G52200,0.26831126
AT2G44380,AT3G26210,0.26736750000000004
AT5G50200,AT5G37600,0.26690236
AT3G48650,AT3G50470,0.26515898
AT5G40780,AT5G37600,0.26445752
AT4G38560,AT3G48650,0.26415727
AT2G41220,AT4G30190,0.26298013
AT1G64170,AT1G37130,0.26255515
AT2G37040,AT2G31400,0.26171239999999996
AT1G14780,AT1G64280,0.26016632
AT3G29034,AT3G25882,0.25998879999999996
AT1G61360,AT2G02220,0.25919068
AT1G65690,AT1G51890,0.25910935
AT1G61380,AT5G40780,0.25895660000000004
AT4G31800,AT4G24160,0.25730065
AT2G42360,AT2G15620,0.25570142
AT3G19010,AT1G30720,0.2554576
AT3G45060,AT1G72300,0.2554155
AT1G05300,AT1G21670,0.25491297
AT1G19380,AT2G41220,0.25427544
AT2G39530,AT1G51890,0.2535901
AT2G42360,AT4G38560,0.25337237
AT2G44380,AT5G53110,0.25302124
AT4G20860,AT3G22060,0.25276023
AT4G20860,AT2G30360,0.2527273
AT1G52200,AT5G39580,0.2525324
AT5G66420,AT1G30720,0.25196618
AT2G19190,AT1G51800,0.25159678
AT4G08850,AT1G64280,0.25002533
AT1G61380,AT4G21410,0.24810913
AT4G01250,AT4G20860,0.24790137
AT2G39200,AT1G51800,0.24654412
AT2G37040,AT5G07440,0.24593903
AT2G02220,AT4G20000,0.24460479999999998
